dataset,cifar10
model,resnet18
batch_size,128
num_workers,0
smoke_test,1
learning_rate,0.1
data_augmentation,False
cutout,False
n_holes,1
length,16
use_cuda,False
seed,0
gutout,False
threshold,0.9
random_threshold,False
mu,0.9
sigma,0.1
epochs,20
switch_interval,2
cuda,False
""
epoch,train_acc,test_acc
0,1.0,0.78125
2,1.0,0.77734375
4,1.0,0.78125
6,1.0,0.78515625
8,1.0,0.78515625
10,1.0,0.78125
12,1.0,0.78125
14,1.0,0.78515625
16,1.0,0.78515625
18,1.0,0.78125
20,1.0,0.78515625
22,1.0,0.78515625
24,1.0,0.7890625
26,1.0,0.78515625
28,1.0,0.78515625
30,1.0,0.78515625
32,1.0,0.79296875
34,1.0,0.7890625
36,1.0,0.78125
38,1.0,0.77734375
