dataset,cifar10
model,cutout_resnet18
batch_size,128
num_workers,0
smoke_test,0
learning_rate,0.1
data_augmentation,False
model_a_path,
model_b_path,
length,16
use_cuda,True
seed,0
cutout,False
n_holes,1
gutout,True
img_size,32
threshold,0.9
random_threshold,False
mu,0.9
sigma,0.1
feature_module,layer1
target_layer_names,0
epochs,10
switch_interval,2
decision,stochastic
deterministic_range,"[0.7, 0.9, 0.05]"
mu_range,"[0.6,0.9,0.1]"
sigma_range,"[0.05,0.2,0.05]"
log_interval,5
cuda,True
""
decision,mu,sigma,threshold,epoch,train_acc,test_acc,train_loss,train_num_masked_pixel,train_mean_gradcam_values,train_std_gradcam_values
stochastic,0.6,0.05,0.592,0,0.358,0.389,1.819,2.072,0.036,0.065
stochastic,0.6,0.05,0.592,4,0.79,0.743,0.605,0.529,0.037,0.063
stochastic,0.6,0.05,0.592,9,0.894,0.775,0.3,0.586,0.037,0.064
stochastic,0.6,0.1,0.661,0,0.355,0.45,1.872,0.577,0.029,0.053
stochastic,0.6,0.1,0.661,4,0.751,0.679,0.706,0.315,0.031,0.059
stochastic,0.6,0.1,0.661,9,0.886,0.781,0.329,0.366,0.041,0.068
stochastic,0.6,0.15,0.851,0,0.326,0.428,1.915,0.619,0.045,0.092
stochastic,0.6,0.15,0.851,4,0.772,0.683,0.647,0.067,0.041,0.067
stochastic,0.6,0.15,0.851,9,0.89,0.772,0.319,0.052,0.041,0.069
stochastic,0.6,0.2,0.388,0,0.4,0.393,1.672,16.254,0.043,0.091
stochastic,0.6,0.2,0.388,4,0.803,0.652,0.568,5.481,0.032,0.062
stochastic,0.6,0.2,0.388,9,0.896,0.801,0.301,4.552,0.04,0.067
stochastic,0.7,0.05,0.767,0,0.357,0.339,1.796,3.117,0.042,0.09
stochastic,0.7,0.05,0.767,4,0.782,0.659,0.626,0.209,0.034,0.063
stochastic,0.7,0.05,0.767,9,0.889,0.756,0.318,0.102,0.032,0.058
stochastic,0.7,0.1,0.751,0,0.341,0.454,1.896,2.552,0.037,0.084
stochastic,0.7,0.1,0.751,4,0.777,0.688,0.635,0.129,0.03,0.055
stochastic,0.7,0.1,0.751,9,0.894,0.795,0.305,0.126,0.037,0.064
stochastic,0.7,0.15,0.762,0,0.318,0.377,1.975,2.31,0.034,0.08
stochastic,0.7,0.15,0.762,4,0.739,0.62,0.737,0.187,0.035,0.065
stochastic,0.7,0.15,0.762,9,0.874,0.757,0.357,0.122,0.036,0.063
stochastic,0.7,0.2,0.764,0,0.373,0.417,1.751,1.029,0.04,0.078
stochastic,0.7,0.2,0.764,4,0.79,0.556,0.595,0.117,0.041,0.067
stochastic,0.7,0.2,0.764,9,0.897,0.781,0.298,0.099,0.037,0.062
stochastic,0.8,0.05,0.825,0,0.366,0.336,1.765,1.477,0.04,0.086
stochastic,0.8,0.05,0.825,4,0.797,0.676,0.58,0.076,0.042,0.069
stochastic,0.8,0.05,0.825,9,0.894,0.783,0.304,0.088,0.044,0.072
stochastic,0.8,0.1,0.903,0,0.32,0.434,1.949,0.711,0.043,0.087
stochastic,0.8,0.1,0.903,4,0.769,0.73,0.65,0.028,0.032,0.057
stochastic,0.8,0.1,0.903,9,0.889,0.789,0.318,0.021,0.031,0.054
stochastic,0.8,0.15,0.941,0,0.357,0.335,1.803,0.073,0.041,0.077
stochastic,0.8,0.15,0.941,4,0.783,0.692,0.62,0.02,0.033,0.06
stochastic,0.8,0.15,0.941,9,0.896,0.788,0.298,0.018,0.039,0.066
stochastic,0.8,0.2,0.688,0,0.382,0.343,1.751,4.512,0.048,0.099
stochastic,0.8,0.2,0.688,4,0.803,0.761,0.561,0.181,0.028,0.049
stochastic,0.8,0.2,0.688,9,0.898,0.776,0.29,0.236,0.038,0.064
stochastic,0.9,0.05,0.871,0,0.372,0.307,1.783,0.358,0.026,0.064
stochastic,0.9,0.05,0.871,4,0.788,0.695,0.604,0.037,0.021,0.04
stochastic,0.9,0.05,0.871,9,0.897,0.807,0.298,0.044,0.043,0.07
stochastic,0.9,0.1,0.983,0,0.288,0.368,2.024,0.035,0.032,0.073
stochastic,0.9,0.1,0.983,4,0.737,0.681,0.747,0.012,0.036,0.063
stochastic,0.9,0.1,0.983,9,0.879,0.765,0.344,0.012,0.037,0.064
stochastic,0.9,0.15,1,0,0.341,0.379,1.877,0.0,0.041,0.076
stochastic,0.9,0.15,1,4,0.764,0.67,0.671,0.0,0.033,0.059
stochastic,0.9,0.15,1,9,0.888,0.769,0.322,0.0,0.033,0.058
stochastic,0.9,0.2,0.956,0,0.361,0.457,1.837,0.038,0.033,0.061
stochastic,0.9,0.2,0.956,4,0.761,0.662,0.68,0.015,0.032,0.06
stochastic,0.9,0.2,0.956,9,0.887,0.764,0.324,0.017,0.032,0.058
